N/A,N/A,1,1,t,f,Jardim Botânico,4,2,1,1,$511.00,3,90,3,3,90,90,3.0,90.0,t,30,60,90,365,6,0,0,4.8,4.67,f,1,0,1,0.05,,,,,,,,
"100,00%","92,00%",7,7,t,t,Ipanema,2,1,1,1,$80.00,7,180,7,7,180,180,7.0,180.0,t,0,15,32,32,186,2,0,4.8,4.73,f,7,5,2,1.53,,,,,,,,
N/A,N/A,1,1,t,f,Laranjeiras,3,2,1,2,$851.00,3,20,3,3,20,20,3.0,20.0,t,30,60,90,365,2,0,0,4.5,4.5,t,1,0,1,0.02,,,,,,,,
N/A,N/A,1,1,t,f,Copacabana,3,1,1,1,$369.00,3,365,3,3,365,365,3.0,365.0,t,0,0,0,268,0,0,0,,,f,1,1,0,,,,,,,,,
"100,00%","81,00%",4,4,t,t,Copacabana,2,1,1,1,$840.00,3,89,3,7,59,89,3.1,88.5,t,18,44,74,349,204,4,0,4.81,4.7,f,3,3,0,1.63,,,,,,,,
"100,00%","100,00%",1,1,t,t,Ipanema,5,3,3,3,"$2,255.00",5,300,5,5,300,300,5.0,300.0,t,22,52,82,255,48,0,0,4.41,4.44,f,1,1,0,0.41,,,,,,,,
"80,00%","50,00%",4,4,t,f,Glória,2,1,1,1,$224.00,7,93,5,7,14,93,7.0,92.6,t,21,51,67,156,0,0,0,,,f,1,1,0,,,,,,,,,
"100,00%","100,00%",4,4,t,t,Copacabana,6,2,3,4,"$1,576.00",2,15,2,2,15,15,2.0,15.0,t,13,20,45,320,3,0,0,5.0,5.0,f,4,0,4,0.02,,,,,,,,
"100,00%","100,00%",4,4,t,t,Copacabana,2,2.5 ,1,1,$500.00,2,31,2,2,31,31,2.0,31.0,t,16,46,76,351,31,2,0,4.97,4.87,f,4,0,4,0.25,,,,,,,,
"100,00%","100,00%",4,4,t,t,Copacabana,2,1,1,1,$235.00,2,15,2,2,15,15,2.0,15.0,t,0,0,0,81,30,0,0,4.93,4.83,f,4,0,4,0.25,,,,,,,,
"100,00%","100,00%",4,4,t,t,Copacabana,2,1,1,2,$414.00,2,15,2,7,15,15,2.1,15.0,t,28,58,88,363,33,1,0,4.86,4.74,f,4,0,4,0.27,,,,,,,,
"86,00%","44,00%",1,1,t,f,Vargem Grande,16,4,3,7,"$1,429.00",1,365,1,1,365,365,1.0,365.0,t,20,49,79,79,2,1,0,5.0,4.5,f,1,1,0,0.02,,,,,,,,
N/A,N/A,1,1,t,t,Flamengo,2,1,1,1,$851.00,1,760,1,1,760,760,1.0,760.0,t,30,60,90,365,0,0,0,,,f,1,0,1,,,,,,,,,
"86,00%","60,00%",5,5,t,t,Laranjeiras,3,1,1,1,$300.00,4,30,4,4,30,30,4.0,30.0,t,24,54,84,359,20,0,0,4.95,4.72,f,2,0,2,0.17,,,,,,,,
"100,00%","100,00%",2,2,t,t,Santa Teresa,4,1,1,2,$207.00,2,30,2,5,1125,1125,2.1,1125.0,t,8,36,54,327,362,28,2,4.82,4.78,t,2,2,0,3.12,,,,,,,,
"100,00%","63,00%",2,2,t,t,Tijuca,2,1,1,1,$180.00,1,365,1,1,365,365,1.0,365.0,t,21,47,68,341,4,0,0,5.0,5.0,f,2,0,2,0.03,,,,,,,,
"100,00%",N/A,2,2,t,t,Copacabana,2,2.5 ,1,2,$300.00,3,180,3,3,180,180,3.0,180.0,t,0,0,10,278,0,0,0,,,f,2,1,1,,,,,,,,,
"100,00%","100,00%",7,7,t,t,Ipanema,2,1,1,1,$472.00,1,88,1,9,1125,1125,5.2,1125.0,t,2,24,54,329,405,21,3,4.79,4.69,t,7,7,0,3.25,,,,,,,,
"95,00%","82,00%",4,4,t,t,Copacabana,2,1,1,1,$400.00,3,89,3,3,89,89,3.0,89.0,t,10,25,44,319,113,11,4,4.57,4.5,f,4,4,0,0.92,,,,,,,,
